,0,1,2,3,4,5
90,3712,東証2部,(株)情報企画,信金など金融機関対象の業務支援パッケージを開発、販売。事業会社向けにも進出意欲が強い,09:00,"2,948"
91,3719,東証JQS,(株)ジェクシード,ＥＲＰコンサル。ＲＰＡ・教育事業強化し再建中。新興企業投資開始。筆頭株主は香港投資会社,11:30,140
92,3723,マザーズ,日本ファルコム(株),プレステ用ゲームソフトの企画・開発主力、ロールプレイング系得意。アプリ等のライセンスも,11:21,"1,375"
93,3727,マザーズ,(株)アプリックス,祖業のソフト基盤技術から撤退。ＩｏＴに資源集中し再建中。ＭＶＮＯ事業に１９年秋から進出,11:30,149
94,3733,東証JQS,(株)ソフトウェア・サービス,病院向けに情報伝達システム、電子カルテを開発。ハードウェアの販売から保守サービスも,11:30,"6,420"
95,3738,東証1部,(株)ティーガイア,携帯販売代理店最大手。０８年に商社系大手２社が合併。光回線販売や国内外で決済サービスも,11:30,"1,615"
96,3739,名古屋セ,コムシード(株),韓国サイカンＨＤ傘下。パチンコ関連の携帯電話コンテンツやゲームなどモバイル事業に特化,11:25,372
97,3741,東証1部,(株)セック,リアルタイムソフトウェア技術に強み。モバイル端末向けや防衛分野、ロボットで開発受託,10:45,"2,287"
98,3744,東証2部,サイオス(株),オープンソースやクラウド製品を開発・販売。システム障害回避ソフトが柱。ＡＩ開発に意欲,11:30,568
99,3747,東証2部,(株)インタートレード,証券ディーリングやＦＸ取引システムの開発・保守が主力。一般法人向けシステムへも進出,11:30,533
100,3750,東証2部,ＦＲＡＣＴＡＬＥ(株),収益不動産保有や不動産売買を柱に、買収でホテルビジネスと再生医療へも展開。ファンド傘下,10:45,"1,424"
101,3753,東証2部,(株)フライトホールディングス,ＩＴコンサル・開発を手がける。モバイル型電子決済端末や決済アプリサービスなどを展開,11:15,421
102,3758,東証JQS,(株)アエリア,スマホ向けゲームを展開。データセンター事業やアフィリエイト広告も。民泊等不動産にも進出,11:29,417
103,3760,東証JQS,(株)ケイブ,ソーシャルゲームを柱にＰＣオンライン・家庭用ゲームも展開。ライブ配信サービスにも進出,11:23,"1,076"
104,3762,東証1部,テクマトリックス(株),情報インフラ構築とアプリ開発が主柱。医療、コールセンターなどクラウドに実績を持つ,11:30,"1,991"
105,3763,東証1部,(株)プロシップ,会計パッケージがメイン、特に固定資産管理、リース資産の管理などに強み。独立系。好財務,11:03,"1,547"
106,3765,東証1部,ガンホー・オンライン・エンターテイメント(株),スマホゲーム「パズル＆ドラゴンズ」が収益柱、ＰＣオンラインゲーム、家庭用ゲームも展開,11:30,"2,875"
107,3766,東証JQS,システムズ・デザイン(株),ＳＩとデータ入力が柱。物流ＳＩなどＭ＆Ａ展開中。会計ソフトのＰＣＡ創業者一族が筆頭株主,09:00,625
108,3768,東証2部,リスクモンスター(株),東京商工リサーチの情報活用しネットで審査、与信管理サービス提供。教育やＢＰＯ事業も,11:30,642
109,3769,東証1部,ＧＭＯペイメントゲートウェイ(株),消費者向けＥＣ（電子商取引）業者に決済処理サービス提供。ＧＭＯ子会社。「後払い」を強化,11:30,"14,890"
110,3770,東証1部,(株)ザッパラス,モバイル端末向け占いコンテンツ配信が核。２０〜４０歳女性が主顧客。占い事業に経営資源集中,11:29,585
111,3771,東証1部,(株)システムリサーチ,独立系ＳＩ。製造業を中心に企業向け情報システム構築と保守・運用。トヨタＧ向けが４割弱,09:37,"1,985"
112,3773,マザーズ,(株)アドバンスト・メディア,音声を文字変換する独自技術核にした各種業務用ソフト開発が柱。文字起こしサービスに参入,11:24,674
113,3774,東証1部,(株)インターネットイニシアティブ,ネット接続の草分け。法人向けシステム構築、クラウド、セキュリティに強い。ＭＶＮＯ大手,11:30,"4,780"
114,3775,名古屋セ,(株)ガイアックス,Ｗｅｂマーケティング支援と運用代行が柱。シェアリングエコノミーの投資事業や起業支援も,10:49,555
115,3776,東証JQS,(株)ブロードバンドタワー,都市型データセンター（ＤＣ）運用。東京・大手町に５Ｇ対応ＤＣ稼働。ＩｏＴ・ＡＩ関連も強化,11:30,202
116,3777,東証JQG,(株)ＦＨＴホールディングス,ＬｉｎｕｘＯＳなどのＩＴ関連、ビルメンテを展開。太陽光発電所の開発、運営なども手がける,11:30,22
117,3778,東証1部,さくらインターネット(株),データセンター運営の独立系大手。ＩＴ企業や官公庁向けに実績。クラウドサービス主軸へ移行,11:20,565
118,3779,東証JQS,ジェイ・エスコム　ホールディングス(株),傘下に理美容業向け商材販売、広告代理、教育コンサル。テレビ通販など個人向け市場へも進出,11:30,103
119,3782,マザーズ,(株)ディー・ディー・エス,指紋など生体認証ソフト・装置開発。ＦＩＤＯ（パスワードレス認証標準化技術）の普及推進,11:30,142
120,3784,東証1部,(株)ヴィンクス,小売り・流通向けソフトを開発。イオン関連取引が柱。同じ富士ソフト傘下企業と１３年に合併,11:30,848
121,3787,東証2部,(株)テクノマセマティカル,独自圧縮技術による画像、音声処理ソフトとハード開発、ライセンス。売上は主に９月・３月集中,09:44,638
122,3788,東証1部,ＧＭＯグローバルサイン・ホールディングス(株),ＧＭＯ傘下。独自の認証局強みにクラウド・セキュリティ事業を展開。電子印鑑サービス育成中,11:30,"4,395"
123,3791,東証JQS,(株)ＩＧポート,映画、テレビ、配信等向けアニメ制作と版権収入が主柱。子会社にコミック専門出版社も,11:03,"1,704"
124,3793,マザーズ,(株)ドリコム,ブログ開発発祥。アニメ、マンガなど有力ＩＰのスマホゲーム開発・運用で先駆。他社配信主体,11:30,523
125,3796,東証2部,(株)いい生活,賃貸物件を中心に、不動産業界に特化した業務支援システムをクラウド・ＳａａＳなどで提供,11:30,407
126,3798,東証JQS,ＵＬＳグループ(株),ＩＴシステムのコンサル、設計、構築担う。流通、製造、情報サービス向けに強み。ＳＩ企業と合併,11:30,"4,970"
127,3799,東証2部,キーウェアソリューションズ(株),総合システムサービス。ＮＥＣと密接。インフラ関連のシステム開発・構築、運用保守。ＥＲＰも,10:37,614
128,3800,東証JQS,(株)ユニリタ,独立系ソフト開発会社。メインフレームからオープン系までカバー。１５年にビーコンＩＴと合併,10:25,"1,842"
129,3802,東証JQS,(株)エコミック,キャリアバンク子会社。給与計算受託。道外企業からの受注が主。札幌と中国・青島現法で処理,11:19,474
130,3803,東証JQG,イメージ情報開発(株),イメージデータ処理で出発。柱はシステム開発。純粋持株会社化で多角的事業展開、他社連携も,11:10,484
131,3804,東証JQS,(株)システム　ディ,特定業種特化のソフトを開発販売。大学用と健康クラブ用の管理ソフトが２本柱。自治体開拓中,11:19,"1,373"
132,3807,東証JQG,(株)フィスコ,金融・経済情報が柱。上場企業のＩＲ支援も。暗号資産も展開。ネクス、ＣＡＩＣＡ、クシムと親密,11:28,195
133,3808,名古屋セ,(株)オウケイウェイヴ,Ｑ＆Ａサイト運営。法人や自治体向けに関連サービスも提供。海外でブロックチェーン技術開発,10:32,370
134,3810,東証2部,サイバーステップ(株),ＰＣオンラインゲーム大手。クレーンゲームなど自社サイト運営による課金収入が収益柱,11:20,430
135,3814,東証JQG,(株)アルファクス・フード・システム,外食向けＡＳＰサービス展開。ＰＯＳ、注文装置などのシステム機器も。大手チェーンが主顧客,11:28,670
136,3815,マザーズ,(株)メディア工房,携帯やＰＣ向け占いコンテンツ配信主力。ゲームソフトは自社開発撤退で再構築。ＶＲ事業狙う,11:14,325
137,3816,東証JQS,(株)大和コンピューター,基幹系業務ソフトの開発会社。大塚商会とＳＣＳＫが有力顧客。クラウド強化。ｉ農業育成中,11:08,"1,089"
138,3817,東証1部,(株)ＳＲＡホールディングス,独立系のシステム開発一括受託会社。Ｌｉｎｕｘ等オープンソース系に強い。海外展開積極化,11:20,"2,881"
139,3823,東証2部,(株)アクロディア,野球ボールやインターホンなどＩｏＴ分野に注力。飲食事業や新型コロナ対策システムも展開,11:28,164
140,3824,福岡Q,メディアファイブ(株),コンピュータ会社に自社で育成したＳＥ等を派遣し業務支援。ソフト受託開発も。福岡地盤,12/09,661
141,3825,東証2部,(株)リミックスポイント,暗号資産交換所「ビットポイント」を運営。電力小売り、中古車売買、ホテルの企画開発も展開,11:30,233
142,3826,東証1部,(株)システムインテグレータ,独立系ソフトハウス。ＥＲＰの請負開発とＷｅｂ関連中心のパッケージソフト販売・保守が両輪,11:21,563
143,3830,名古屋セ,(株)ギガプライズ,フリービット傘下。マンションなど集合住宅向けのネット接続サービスが柱。新築物件に強い,10:56,"1,088"
144,3834,東証1部,(株)朝日ネット,独立系のネット接続サービス（ＩＳＰ）大手。「ＡＳＡＨＩネット」運営。大学向け教育支援事業も,11:29,616
145,3835,東証1部,ｅＢＡＳＥ(株),商品情報管理ソフト「ｅＢＡＳＥ」を開発、販売。食品業界間でのトレーサビリティ用途が主軸,11:10,639
146,3836,東証1部,(株)アバント,連結経営・会計システムのパッケージソフト開発、ライセンス販売、導入サービスなど展開,11:25,"1,300"
147,3837,東証1部,アドソル日進(株),大企業向け大規模システムの開発に強み持つ。技術水準に定評。ソリューション提案を強化,11:29,"1,779"
148,3839,東証1部,(株)ＯＤＫソリューションズ,システム開発・運用会社。入試関連支援業務が主力。利益は下期集中。学研ＨＤが筆頭株主に,11:16,669
149,3840,東証2部,パス(株),経営陣刷新し自社ブランド化粧品を軸とした通販事業に専念。微細藻由来の原料素材で差別化,10:05,75
150,3841,東証JQS,(株)ジーダット,ＬＳＩや液晶パネル設計用の電子系ＣＡＤソフト（ＥＤＡ）を開発・販売。海外提携に積極的,11:25,"1,417"
151,3842,東証JQG,(株)ネクストジェン,次世代通信網（ＮＧＮ）の制御システム開発会社。ＳＩＰ（通話制御プロトコル）の先駆的存在,10:56,813
152,3843,東証1部,フリービット(株),ネット接続業者向けインフラ提供サービス展開。独自スマホはＣＣＣと提携解消し単独事業に,11:30,"1,183"
153,3844,東証1部,コムチュア(株),クラウドが主力の独立系ＳＩ。ＡＩ・ＲＰＡに強みを持つ。ネット運用も。コンサル強化中,11:25,"3,540"
154,3845,東証JQS,(株)アイフリークモバイル,携帯向け情報配信が主、メール装飾画像、ＬＩＮＥスタンプも。１５年７月、事業会社に先祖返り,11:30,225
155,3847,東証JQS,パシフィックシステム(株),太平洋セメント系の情報サービス業。画像処理に強み。親会社向け販売３割で、顧客開拓が課題,10:54,"2,947"
156,3848,東証JQS,(株)データ・アプリケーション,企業間電子商取引などＥＤＩ（電子データ交換）ソフトが主力。ＳＩなど代理店経由の受注中心,10:08,"1,705"
157,3849,札幌ア,日本テクノ・ラボ(株),産業用特殊プリンタに特化した制御システムソフト開発・販売が柱。セキュリティ関連強化,12/02,"1,510"
158,3850,東証2部,(株)ＮＴＴデータイントラマート,ＮＴＴデータの社内ベンチャー発祥。Ｗｅｂシステム基盤構築のためのソフト開発・販売が主,09:22,"2,440"
159,3851,東証JQS,(株)日本一ソフトウェア,ゲームソフトメーカー。ＰＳ４、Ｓｗｉｔｃｈ用が柱。ＲＰＧ「ディスガイア」シリーズなど,11:30,"1,684"
160,3852,東証1部,サイバーコム(株),富士ソフトの子会社。通信分野を中心としたソフトウェア開発が主力。自社プロダクトも提供,11:23,"1,149"
161,3853,東証1部,アステリア(株),ブロックチェーン、ＡＩ等先進技術有するソフト開発メーカー。データ連携ツールはシェア首位,11:30,812
162,3854,東証1部,(株)アイル,中堅・中小企業向け販売在庫管理システムを開発。実店舗とネットショップの統合管理に展開,11:30,"1,585"
163,3857,東証JQS,(株)ラック,情報セキュリティ技術に強い。１４年ＫＤＤＩと資本提携、戦略立案人材も招聘し関係一段強化,11:29,693
164,3858,東証JQS,(株)ユビキタスＡＩコーポレーション,自社開発製品を中心に海外製品も扱う組み込みソフト会社。ＩｏＴ関連ソリューションを展開,11:30,530
165,3900,マザーズ,(株)クラウドワークス,国内最大級のクラウドソーシング会社。ネット上の人材マッチング事業と大企業向け事業が柱,11:30,"1,217"
166,3901,東証1部,マークラインズ(株),自動車業界特化のＷｅｂ情報サービスを国内外で展開。部品調達代行やコンサル、人材紹介も,11:30,"2,890"
167,3902,東証1部,メディカル・データ・ビジョン(株),医療機関、製薬向けに医療・医薬品データのネットワーク化と利活用の両サービスを提供,11:30,"1,266"
168,3903,東証1部,(株)ｇｕｍｉ,ソーシャルゲームからスマホアプリへシフト。海外展開も。ＶＲやブロックチェーンにも注力,11:30,745
169,3904,マザーズ,(株)カヤック,ネット広告などの受託制作、ソーシャルゲームが主力。ゲームコミュニティ「Ｌｏｂｉ」も運営,11:29,704
170,3905,マザーズ,データセクション(株),ＳＮＳ分析とコンサルティング、システム開発が主力。ＡＩとビッグデータ活用事業を育成中,10:56,365
171,3906,マザーズ,(株)ＡＬＢＥＲＴ,ＳＢＩ系の持分法適用会社。ＡＩ技術用いたビッグデータ分析主体。内製のアルゴリズムに強み,11:30,"4,415"
172,3907,マザーズ,シリコンスタジオ(株),３ＤＣＧ技術基盤のゲーム用ミドルウェア主力。自社ゲーム開発撤退。開発受託、人材派遣特化,11:29,962
173,3908,マザーズ,(株)コラボス,コールセンター向けクラウドシステム「エニプレイス」が柱、初期導入費用と運用課金が収益源,09:04,457
174,3909,東証1部,(株)ショーケース,Ｗｅｂサイト最適化技術により成約率高める「ナビキャスト」が主力。日米などで特許取得,11:28,531
175,3910,東証JQS,(株)エムケイシステム,社会保険労務士事務所等向け保険申請システム開発・販売。子会社で総務系業務システム提供,11:23,439
176,3911,マザーズ,(株)Ａｉｍｉｎｇ,スマホゲーム配信・制作。多人数同時型に強み。「剣と魔法のログレス」「ＤＱタクト」等運営,11:29,284
177,3912,東証1部,(株)モバイルファクトリー,スマホ向けなどのソーシャルゲームや着メロの開発・配信会社。位置情報連動型ゲームに注力,11:28,931
178,3913,マザーズ,(株)ｓＭｅｄｉｏ,ＰＣや家電組み込みなどネット接続関連のソフトが柱。受託開発に加えライセンス収入を拡大,09:38,751
